code_commune,commune,creations_total,creations_industrie,creations_construction,creations_commerce_transport,creations_info_com,creations_finance,creations_immo,creations_services_admin,creations_adm_sante_social,creations_autres_services,annee
62245,Coulomby,2,0,0,1,0,0,0,0,1,0,2017
62246,Coupelle-Neuve,0,0,0,0,0,0,0,0,0,0,2017
62247,Coupelle-Vieille,5,0,0,3,0,1,0,0,1,0,2017
62248,Courcelles-le-Comte,3,1,0,1,0,0,0,1,0,0,2017
62249,Courcelles-lès-Lens,45,2,2,19,0,1,1,12,3,5,2017
62250,Courrières,69,8,4,24,0,2,1,13,9,8,2017
62251,Courset,1,0,1,0,0,0,0,0,0,0,2017
62252,La Couture,11,2,0,2,0,0,0,2,3,2,2017
62253,Couturelle,0,0,0,0,0,0,0,0,0,0,2017
62254,Coyecques,0,0,0,0,0,0,0,0,0,0,2017
62255,Crémarest,1,0,0,1,0,0,0,0,0,0,2017
62256,Crépy,0,0,0,0,0,0,0,0,0,0,2017
62257,Créquy,1,0,1,0,0,0,0,0,0,0,2017
62258,Croisette,1,0,0,1,0,0,0,0,0,0,2017
62259,Croisilles,12,3,1,1,0,0,0,4,2,1,2017
62260,Croix-en-Ternois,3,0,1,2,0,0,0,0,0,0,2017
62261,Cucq,53,3,5,13,1,2,5,14,6,4,2017
62262,Cuinchy,5,0,0,0,1,0,0,1,2,1,2017
62263,Dainville,28,0,1,11,2,2,1,3,7,1,2017
62264,Dannes,4,0,1,3,0,0,0,0,0,0,2017
62265,Delettes,6,0,2,3,0,0,0,1,0,0,2017
62266,Denier,0,0,0,0,0,0,0,0,0,0,2017
62267,Dennebrœucq,3,1,0,1,1,0,0,0,0,0,2017
62268,Desvres,30,1,4,10,2,2,1,4,3,3,2017
62269,Diéval,4,2,0,2,0,0,0,0,0,0,2017
62270,Divion,22,1,0,15,0,0,0,0,2,4,2017
62271,Dohem,3,0,0,2,0,0,0,1,0,0,2017
62272,Douchy-lès-Ayette,1,0,0,0,0,0,0,0,0,1,2017
62273,Doudeauville,0,0,0,0,0,0,0,0,0,0,2017
62274,Dourges,33,1,5,17,0,0,3,2,4,1,2017
62275,Douriez,1,0,0,1,0,0,0,0,0,0,2017
62276,Douvrin,41,0,6,15,2,0,1,6,7,4,2017
62277,Drocourt,17,0,3,9,0,0,0,2,3,0,2017
62278,Drouvin-le-Marais,2,0,0,0,0,0,0,1,0,1,2017
62279,Duisans,18,1,1,2,0,3,2,6,1,2,2017
62280,Dury,4,1,0,0,0,0,1,0,1,1,2017
62281,Echinghen,2,0,0,0,1,0,0,0,1,0,2017
62282,Éclimeux,1,1,0,0,0,0,0,0,0,0,2017
62283,Écoivres,0,0,0,0,0,0,0,0,0,0,2017
62284,Écourt-Saint-Quentin,7,1,1,4,0,0,0,1,0,0,2017
62285,Écoust-Saint-Mein,4,2,0,1,0,0,0,0,0,1,2017
62286,Ecquedecques,1,0,0,1,0,0,0,0,0,0,2017
62288,Ecques,10,2,1,3,0,0,0,3,0,1,2017
62289,Écuires,1,0,0,0,0,0,0,1,0,0,2017
62290,Écurie,1,0,0,1,0,0,0,0,0,0,2017
62291,Éleu-dit-Leauwette,12,0,1,6,2,0,0,1,1,1,2017
62292,Elnes,4,0,0,2,0,0,0,0,1,1,2017
62293,Embry,1,0,0,1,0,0,0,0,0,0,2017
62295,Enquin-lez-Guinegatte,13,3,1,5,0,1,1,0,1,1,2017
62296,Enquin-sur-Baillons,0,0,0,0,0,0,0,0,0,0,2017
62297,Éperlecques,21,0,3,8,1,1,1,2,2,3,2017
62298,Épinoy,7,0,0,4,1,0,0,2,0,0,2017
62299,Eps,0,0,0,0,0,0,0,0,0,0,2017
62300,Équihen-Plage,12,0,1,6,0,0,0,1,2,2,2017
62301,Équirre,1,0,0,1,0,0,0,0,0,0,2017
62302,Ergny,1,0,1,0,0,0,0,0,0,0,2017
62303,Érin,0,0,0,0,0,0,0,0,0,0,2017
