"code_commune","commune","annee","inscrits","abstentions","votants","blancs","nuls","exprimes","taux_abstention","population","part_jeunes","part_seniors","indice_jeunesse","emploi_total","emploi_moins_25","emploi_25_49","emploi_50_plus","creations_total","creations_industrie","creations_construction","creations_commerce_transport","creations_info_com","creations_finance","creations_immo","creations_services_admin","creations_adm_sante_social","creations_autres_services","nombre_infractions_total","taux_infractions_moyen"
"62100","Beaurainville",2017,1619,305,1314,34,5,1275,"18.83878937615812",2095,"33.30049503619475","28.53905324952184","1.166839514438086","155","35","80","40","10","1","0","1","0","1","0","4","1","2","73","2.3193365666666663"
"62101","Beauvois",2017,105,21,84,2,0,82,"20",142,"36.23188405797112","19.565217391304436","1.8518518518518492","10","5","5","0","0","0","0","0","0","0","0","0","0","0","0","0.46264315333333333"
"62102","Bécourt",2017,193,17,176,6,1,169,"8.808290155440414",272,"41.09090909090908","24","1.7121212121212117","15","0","10","5","1","0","0","0","0","0","0","0","0","1","4","0.8274973066666668"
"62103","Béhagnies",2017,110,16,94,0,0,94,"14.545454545454545",126,"39.682539682539684","27.77777777777778","1.4285714285714286","10","5","5","0","1","0","0","0","0","0","0","0","1","0","2","1.0687719666666666"
"62104","Bellebrune",2017,280,22,258,6,1,251,"7.857142857142857",400,"38.5690475609542","16.506356913409277","2.3366178111429208","25","5","15","5","2","0","1","1","0","0","0","0","0","0","7","1.1241338666666667"
"62105","Belle-Et-Houllefort",2017,412,45,367,4,5,358,"10.922330097087379",560,"33.92857142857143","24.642857142857146","1.3768115942028984","25","5","15","5","5","1","0","1","1","0","0","0","2","0","11","1.1243709333333336"
"62106","Bellonne",2017,199,31,168,5,2,161,"15.577889447236181",211,"25.925925925925924","31.944444444444475","0.8115942028985498","15","0","10","5","0","0","0","0","0","0","0","0","0","0","1","0.6679109466666666"
"62107","Bénifontaine",2017,305,30,275,2,2,271,"9.836065573770492",356,"31.953299706361975","24.682425451137238","1.2945769762221537","15","0","10","5","3","0","2","0","1","0","0","0","0","0","8","1.4838241333333333"
"62108","Berck",2017,11049,2800,8249,168,89,7992,"25.341659878722055",14189,"29.738404794888645","34.57683933616285","0.8600671827105425","1520","275","855","395","89","4","9","33","1","2","4","10","14","12","1121","5.297066073333332"
"62109","Bergueneuse",2017,149,22,127,1,3,123,"14.76510067114094",218,"34.56221198156682","29.032258064516103","1.1904761904761914","15","0","10","5","1","0","0","0","0","0","0","0","0","1","2","0.7966149533333334"
"62111","Berlencourt-Le-Cauroy",2017,188,19,169,0,1,168,"10.106382978723403",275,"39.402080218316726","24.66194409719668","1.597687516565069","25","0","15","10","0","0","0","0","0","0","0","0","0","0","5","1.3896316533333333"
"62112","Berles-Au-Bois",2017,423,73,350,6,0,344,"17.257683215130022",515,"32.23300970873787","27.96116504854369","1.1527777777777777","35","5","25","5","1","0","0","0","0","0","0","0","1","0","10","1.3310940666666666"
"62113","Berles-Monchel",2017,378,48,330,1,4,325,"12.698412698412698",488,"36.0655737704918","22.131147540983605","1.6296296296296295","30","5","20","5","3","0","1","1","1","0","0","0","0","0","8","1.1359052"
"62114","Bermicourt",2017,123,17,106,0,3,103,"13.821138211382115",165,"32.72727272727273","27.878787878787882","1.173913043478261","5","0","0","0","0","0","0","0","0","0","0","0","0","0","2","0.7764021466666667"
"62115","Berneville",2017,382,50,332,8,3,321,"13.089005235602095",480,"31.276595744680808","27.02127659574466","1.1574803149606294","30","5","15","10","3","0","0","2","0","0","0","0","1","0","8","0.9996561733333335"
"62116","Bernieulles",2017,163,27,136,8,1,127,"16.56441717791411",184,"34.59459459459456","29.72972972972977","1.163636363636361","10","5","0","5","1","1","0","0","0","0","0","0","0","0","2","1.04256628"
"62117","Bertincourt",2017,732,175,557,11,1,545,"23.90710382513661",918,"37.36383442265795","24.074074074074073","1.5520361990950227","70","15","35","25","9","3","0","3","0","0","0","2","1","0","19","1.44715252"
"62118","Béthonsart",2017,127,13,114,5,1,108,"10.236220472440944",147,"33.333333333333265","20.833333333333293","1.5999999999999999","20","5","10","5","3","1","0","1","0","0","0","1","0","0","2","1.04256628"
"62119","Béthune",2017,17459,5048,12411,218,133,12060,"28.9134543788304",24895,"39.56206781390078","23.657956664840192","1.6722521042020861","2910","520","1780","610","234","10","15","80","8","4","5","50","39","23","1797","5.006260313333333"
"62120","Beugin",2017,382,55,327,4,1,322,"14.397905759162304",471,"32.11991434689509","26.766595289079238","1.2000000000000004","30","10","20","5","5","0","1","1","0","0","0","1","2","0","7","0.9989968933333333"
"62121","Beugnâtre",2017,117,19,98,2,2,94,"16.23931623931624",170,"42.94117647058823","14.705882352941178","2.92","20","5","10","5","0","0","0","0","0","0","0","0","0","0","2","0.9297547133333334"
"62122","Beugny",2017,281,53,228,1,2,225,"18.86120996441281",376,"36.414565826330566","24.649859943977624","1.4772727272727268","20","10","5","5","0","0","0","0","0","0","0","0","0","0","8","1.2056891666666667"
"62123","Beussent",2017,406,62,344,6,6,332,"15.270935960591133",548,"35.250463821892446","25.231910946196674","1.3970588235294135","30","5","25","5","1","0","0","0","0","0","1","0","0","0","10","1.13683058"
"62124","Beutin",2017,329,51,278,7,0,271,"15.501519756838904",466,"40.57479017339106","17.54997879375711","2.311956649647027","35","10","25","0","2","0","0","0","0","0","0","1","1","0","9","1.2333444"
"62125","Beuvrequen",2017,373,49,324,5,2,317,"13.136729222520108",457,"34.657206436981916","22.795782056969802","1.5203341719257","25","5","15","5","0","0","0","0","0","0","0","0","0","0","10","1.35464902"
"62126","Beuvry",2017,7039,1785,5254,95,48,5111,"25.35871572666572",9442,"35.35630004176692","26.310070830968503","1.3438314274756906","880","150","530","195","51","3","10","17","0","2","1","9","3","6","419","3.14780842"
